Sr. no.,Message_ID,Customer_Name,Phone_Number,Date,Complaint_Text,Category
255,9696dc6c,Peggy Wiggins,001-767-762-2827,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
256,83601fb5,Bailey Lewis,028.519.6115x9408,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
257,fdb37e45,Edward Johnson,(296)044-3270,30-04-2025,I�ve been texting for help and no one responds.,No Response
258,ded44617,John Collins,567.922.8777x251,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
259,6321d753,James Weaver,+1-741-209-4818x13989,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
260,307c3f63,Kathryn Smith,+1-820-433-9718x95690,30-04-2025,I�ve been texting for help and no one responds.,No Response
261,57076494,Jason Heath,641-118-2422x41246,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
262,5346405c,Micheal Evans,526-546-1033,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
263,823500f9,Janice Wilson,5786170630,30-04-2025,Your delivery boy was very rude.,Rude Staff
264,acd32f62,Phillip Pearson,(496)718-3258,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
265,f3de6bc2,Thomas Hayes,7942007494,30-04-2025,late delivery,Late Delivery
266,a1d8507b,Ryan Campbell,(891)416-1284,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
267,f5194ab9,Stacey Dougherty,+1-474-355-3795x0209,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
268,ac367cb9,Justin Horton,681.180.7156x9562,30-04-2025,I�ve been texting for help and no one responds.,No Response
269,efadf069,Adam Paul,001-453-194-3375x04793,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
270,a3708c7f,Sergio Carroll,283.999.2192x1249,30-04-2025,I was charged more than what was mentioned.,Overcharged
271,c841b6a8,Ryan Johnson,001-894-870-6056x641,30-04-2025,delay for delivery,Late Delivery
272,846af2e6,Stacey Walker,687-506-3519x036,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
273,2a1b76e3,Arthur Garrett,7609543173,30-04-2025,I�ve been texting for help and no one responds.,No Response
274,55660d8e,Cynthia Jones,+1-971-791-1006x512,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
275,0e06a416,Mark Jones,+1-080-466-1963x99076,30-04-2025,I�ve been texting for help and no one responds.,No Response
276,9ec620e0,Gina Pace,7859311091,30-04-2025,Your delivery boy was very rude.,Rude Staff
277,e784cabe,Mandy Scott,(797)232-0024x96854,30-04-2025,Your delivery boy was very rude.,Rude Staff
278,2547a8dc,Eric Cooper,(089)203-8806x533,30-04-2025,I�ve been texting for help and no one responds.,No Response
279,1182e8e7,Michael Neal,959.959.4652x170,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
280,a3863cd1,David Hanson,756.362.0501,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
281,247474b3,Cory Willis,001-500-334-2342x58323,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
282,e9204a24,Ronald Taylor,+1-153-473-5528x9611,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
283,cb7e717c,Joseph Benson,963-099-3842x53042,30-04-2025,Your delivery boy was very rude.,Rude Staff
284,7d2e7d9e,Brad Ruiz,+1-912-868-5787x25587,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
285,66a466d4,Rachel Santos,337.363.4669,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
286,4128d40b,Brandy Miller,853.907.8956x776,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
287,51284026,Alexander Alexander,151-488-8143x111,30-04-2025,Your delivery boy was very rude.,Rude Staff
288,5571276b,Gary Turner,001-439-284-0445x66907,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
289,f394c60d,James Perez,001-373-898-7751x5366,30-04-2025,Your delivery boy was very rude.,Rude Staff
290,8ef65ee8,Charles Russo,075-536-6684x5909,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
291,fa2c9e79,Erin Soto,+1-996-636-1863x715,30-04-2025,Your delivery boy was very rude.,Rude Staff
292,e50dede5,Christopher Leonard,(097)023-1643,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
293,11ea2c00,Jacob Smith,662-128-6716x32346,30-04-2025,I was charged more than what was mentioned.,Overcharged
294,f06c69d9,Dale Moran,430.271.6938x597,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
295,bcbf1583,Matthew Ellison,(469)263-2967x629,30-04-2025,I was charged more than what was mentioned.,Overcharged
296,0b2d983a,Seth Hill,+1-841-376-8151x1856,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
297,818d72af,Alexander Fowler,+1-765-636-0041x25777,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
298,3e06f427,Jessica Ruiz,220-912-4186x210,30-04-2025,I was charged more than what was mentioned.,Overcharged
299,2d8d7db8,Andrew Leonard,708.164.7090,30-04-2025,delay for delivery,Late Delivery
300,33a51ac6,Jade Allen,060-053-1312,30-04-2025,I�ve been texting for help and no one responds.,No Response
301,1b912adc,Erica Sims,+1-386-613-3155x206,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
302,3677f5b4,Austin Briggs,+1-950-136-4971x8924,30-04-2025,I�ve been texting for help and no one responds.,No Response
303,a180f402,Megan Compton,001-252-571-5099x768,30-04-2025,Your delivery boy was very rude.,Rude Staff
304,966456be,Alexis Smith,001-143-639-1025x74326,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
305,ec648a9b,Virginia Wallace,245-086-4035x53380,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
306,b8314c26,Shane Boyd,(701)713-0232,30-04-2025,Your delivery boy was very rude.,Rude Staff
307,d4cae432,Christine Romero,(742)336-2934x49734,30-04-2025,Your delivery boy was very rude.,Rude Staff
308,5c0d8fcc,Christopher Alexander,962.706.6149x82824,30-04-2025,I�ve been texting for help and no one responds.,No Response
309,48817b98,Larry Jones,(732)300-8576,30-04-2025,I�ve been texting for help and no one responds.,No Response
310,be006ccb,John Davidson,001-160-169-2364,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
311,a28e0841,Melissa Curtis,(337)050-2497x24399,30-04-2025,Your delivery boy was very rude.,Rude Staff
312,17a15a60,Sydney Sanders,001-183-626-4488,30-04-2025,I was charged more than what was mentioned.,Overcharged
313,4ed7b3f3,Nicole Glass,195-243-6402,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
314,c6141017,Kelly Pena,001-622-522-3728x1793,30-04-2025,I�ve been texting for help and no one responds.,No Response
315,2ec75a83,Cheryl Bird,(791)214-1614x15093,30-04-2025,I was charged more than what was mentioned.,Overcharged
316,19cea0c3,Derek Moses,+1-901-380-6984x77596,30-04-2025,I�ve been texting for help and no one responds.,No Response
317,57d3ec63,Dr. Teresa Ortega MD,5510762091,30-04-2025,I�ve been texting for help and no one responds.,No Response
318,c05e5ade,Isabella Montgomery,+1-786-305-0505x73976,30-04-2025,Got it after the expected date,Late Delivery
319,6d8bebc3,Teresa Alvarez,+1-164-932-8980x27148,30-04-2025,Your delivery boy was very rude.,Rude Staff
320,f47e3ca0,Matthew Allen,211.602.5643,30-04-2025,delay for delivery,Late Delivery
321,e5c345fc,Mary Livingston,+1-715-399-1566x8633,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
322,1c8390ba,Patrick Pineda,001-195-256-9040x9836,30-04-2025,Got it after the expected date,Late Delivery
323,cc2a261d,Rebecca Meyer,+1-931-608-7524x377,30-04-2025,late delivery,Late Delivery
324,bf3f51d5,Rebecca Warner,+1-548-149-7374x605,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
325,d91b1cb6,Rita Graves,2764208656,30-04-2025,I was charged more than what was mentioned.,Overcharged
326,643058d9,Joseph Campbell,001-386-125-9047x292,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
327,e5b015b4,Daniel Goodman,001-059-126-6201x5720,30-04-2025,I was charged more than what was mentioned.,Overcharged
328,56a701ab,Tracy Sims,(301)367-4926x1764,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
329,02f86044,Bradley Burns,+1-830-999-7419x26764,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
330,10416cbc,Shannon Medina,(068)887-1898x1312,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
331,8e023ef0,Ernest Williams,001-321-840-1184,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
332,6c4d1774,Mary Wright,8487297585,30-04-2025,I�ve been texting for help and no one responds.,No Response
333,b01c337e,Robert Young,243.298.3954,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
334,13093c17,Debbie Santos,(671)462-8314,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
335,b6e5dd9a,Matthew Hoover,+1-262-566-0931x418,30-04-2025,delay for delivery,Late Delivery
336,10e2b676,Brandon Blankenship,001-423-401-6361x12849,30-04-2025,I�ve been texting for help and no one responds.,No Response
337,b3510ddc,Diane Nelson,025-625-8896,30-04-2025,I was charged more than what was mentioned.,Overcharged
338,026e6d11,Michelle Sandoval,(694)053-9672,30-04-2025,Your delivery boy was very rude.,Rude Staff
339,77fa7bbc,Desiree Patterson,001-341-465-1113x129,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
340,8ddd6a3e,Rhonda Smith,(827)788-1609x30685,30-04-2025,I was charged more than what was mentioned.,Overcharged
341,f36c1c45,Yvonne Duffy,+1-909-728-3215x28506,30-04-2025,I�ve been texting for help and no one responds.,No Response
342,f8401eea,Thomas Wright,-3983,30-04-2025,I was charged more than what was mentioned.,Overcharged
343,eee06433,Kaylee Barry,970.509.7545x105,30-04-2025,I�ve been texting for help and no one responds.,No Response
344,19f145cc,Craig Rice,(617)024-3765,30-04-2025,I was charged more than what was mentioned.,Overcharged
345,2ea37b78,Debra Mayo,+1-722-560-5313x40266,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
346,aa8c662d,John Ortega,167-872-5686x211,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
347,80000fac,Michael Williams,690-674-4716x39282,30-04-2025,delay for delivery,Late Delivery
348,dd3a0936,Michael Estrada,(371)892-3923x12604,30-04-2025,I�ve been texting for help and no one responds.,No Response
349,0485742a,Ann Williams,(843)356-7086x04145,30-04-2025,I was charged more than what was mentioned.,Overcharged
350,6b06e92f,Steven White,534749162,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
351,559383cf,Brent Smith,-10386,30-04-2025,delay for delivery,Late Delivery
352,e31f2212,Mark Guzman,9337118954,30-04-2025,Your delivery boy was very rude.,Rude Staff
353,88973a4a,Amanda Lee,-7231,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
354,ca77736e,Kyle Horton,(409)036-7881,30-04-2025,I was charged more than what was mentioned.,Overcharged
355,6257ae9c,Jeanette Lawson,202.939.0878,30-04-2025,late delivery,Late Delivery
356,3867f62d,Derrick Wilson,083.402.4240,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
357,d2cb03eb,Brian Wong,+1-955-184-2694x5005,30-04-2025,Your delivery boy was very rude.,Rude Staff
358,2d3e854b,Alan Sandoval,001-916-498-3735x43962,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
359,6f144dc6,Steven Davis,(722)397-2404,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
360,64ea1dd3,Chelsea Thomas,(376)182-0916x60100,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
361,44852295,Mark Smith,1851327972,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
362,3e6a41f1,Michael Burton,001-841-8620,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
363,62a876d7,Matthew Perez,+1-617-213-1451x95151,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
364,6dba9754,Linda Shelton,(494)514-7541,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
365,260d76ca,Bridget Hernandez,711.964.2152x265,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
366,b184071c,Lindsay Fields,(366)878-8788,30-04-2025,Your delivery boy was very rude.,Rude Staff
367,b70510f8,Kenneth Steele,001-313-503-0587x2105,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
368,c75566c2,Elizabeth Thomas,-2194,30-04-2025,I was charged more than what was mentioned.,Overcharged
369,1b2375d0,Angela Monroe,(025)213-1096,30-04-2025,I�ve been texting for help and no one responds.,No Response
370,be59d035,Joseph Rush,657.041.2009x2820,30-04-2025,I�ve been texting for help and no one responds.,No Response
371,f2bffc3f,Kristen Gallegos,001-843-624-1862,30-04-2025,I was charged more than what was mentioned.,Overcharged
372,380a402d,Rodney Daugherty,+1-177-566-2056x341,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
373,c75f41dc,Alyssa Campbell,-4846,30-04-2025,I was charged more than what was mentioned.,Overcharged
374,91f390f4,Kristy Tyler,514054683,30-04-2025,late delivery,No Response
375,5b182716,Michele Davis,(818)209-6790x42271,30-04-2025,I�ve been texting for help and no one responds.,No Response
376,3b482d28,Rhonda Pena,001-288-985-7254x59606,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
377,9b5c4b58,Christian Burton,102.481.7175x2421,30-04-2025,I�ve been texting for help and no one responds.,No Response
378,16d7ba54,Michael Murray,472.197.0546x6927,30-04-2025,Your delivery boy was very rude.,Rude Staff
379,f3b937f2,Bradley Gutierrez,409.038.0214x629,30-04-2025,I was charged more than what was mentioned.,Overcharged
380,63629509,Maureen Bailey,871.121.6636x515,30-04-2025,Your delivery boy was very rude.,Rude Staff
381,366f4268,Karen Ramirez,8272359096,30-04-2025,Your delivery boy was very rude.,Rude Staff
382,ca208c07,John Brown,6442121461,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
383,df0ccde7,Daniel Orozco,(016)542-3567,30-04-2025,I was charged more than what was mentioned.,Overcharged
384,2922ecb0,Jessica Gaines,001-608-931-9925,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
385,756aae2d,Kathryn Stewart,+1-648-072-7910x33682,30-04-2025,I�ve been texting for help and no one responds.,No Response
386,35b30874,Valerie Ray,5504481776,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
387,8adf1e46,William Rogers,(765)289-2866,30-04-2025,delay for delivery,Damaged Product
388,ae26f348,Douglas Oliver,111-096-1798,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
389,94cbb94e,Mary Christian,378.613.7157,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
390,b42e8714,Jennifer Ayers,844.446.3060,30-04-2025,I�ve been texting for help and no one responds.,No Response
391,5fd90dfe,Kelly Figueroa,529-638-6396x09626,30-04-2025,I was charged more than what was mentioned.,Overcharged
392,846c454c,David Mckinney,(819)648-2531,30-04-2025,I placed the order 2 days ago and it's still not here!,Late Delivery
393,a0ff3498,Brittany Montgomery,-5455,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
394,3ec8fe58,Renee Gray,041-209-1179x112,30-04-2025,I placed the order 2 days ago and it's still not here!,Late Delivery
395,17c03e28,Ryan Durham,617.061.7136,30-04-2025,I�ve been texting for help and no one responds.,No Response
396,e886818e,Christopher Evans,(990)155-7998,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
397,4126fa8f,Cheryl Johnson,8823513052,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
398,f099e2b6,Donald Gonzalez,584-776-8634,30-04-2025,I�ve been texting for help and no one responds.,No Response
399,e327119f,Tonya Garcia,001-942-376-7694x59196,30-04-2025,I was charged more than what was mentioned.,Overcharged
400,5fbbdfd7,Sabrina Cole,8496498560,30-04-2025,I was charged more than what was mentioned.,Overcharged
401,6dec4b0d,Heather Jones,+1-552-510-5053x79538,30-04-2025,Your delivery boy was very rude.,Rude Staff
402,36511c93,Ashley Ramirez,+1-196-655-3307x704,30-04-2025,I�ve been texting for help and no one responds.,No Response
403,2bcfd03f,Leslie Young,4090742608,30-04-2025,I�ve been texting for help and no one responds.,No Response
404,042a6bd7,Brandon Lang,001-445-561-8579x0647,30-04-2025,Your delivery boy was very rude.,Rude Staff
405,e914ae70,James Williamson,3002156321,30-04-2025,I�ve been texting for help and no one responds.,No Response
406,5e6ee398,Kimberly Smith,001-040-104-1459x642,30-04-2025,I�ve been texting for help and no one responds.,No Response
407,205474fa,Charles Silva,(718)839-7745x73144,30-04-2025,Your delivery boy was very rude.,Rude Staff
408,df748fb5,Matthew Foley,001-117-030-3763x715,30-04-2025,I�ve been texting for help and no one responds.,No Response
409,8713b81f,Emily Blackburn,001-728-123-5679x836,30-04-2025,I�ve been texting for help and no one responds.,No Response
410,2a08c526,Tiffany Ray,271-130-7240,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
411,5a19d7ab,Timothy Miller,(326)868-5074x51066,30-04-2025,late delivery,Late Delivery
412,2d389d1f,Kendra Snyder,(103)131-0094x31814,30-04-2025,I was charged more than what was mentioned.,Overcharged
413,b7403274,James Robinson,001-473-235-4940x128,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
414,da41a15f,Cynthia Edwards,225-720-7650,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
415,13b4c4f6,Philip Smith,(790)737-1009x438,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
416,c67736bc,Eric Fitzgerald,758.474.5705x458,30-04-2025,I placed the order 2 days ago and it's still not here!,Late Delivery
417,af8f8cf0,Margaret Hernandez,(325)703-9653x13614,30-04-2025,late delivery,Late Delivery
418,e9926bad,Tyler Rose,556-964-4309x859,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
419,9110c9fd,Rebecca Roberts,7272849824,30-04-2025,I was charged more than what was mentioned.,Overcharged
420,4b73361f,Andrew Campbell,001-107-406-5004,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
421,c90703e8,Mary Mack,(142)369-1430,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
422,cfcc2abd,Jasmine Ross,449-429-6592,30-04-2025,I�ve been texting for help and no one responds.,No Response
423,8de58a88,Eric Evans,+1-782-661-2875x8575,30-04-2025,I was charged more than what was mentioned.,Overcharged
424,6906b588,Thomas Johnson,001-612-943-9852x98940,30-04-2025,Your delivery boy was very rude.,Rude Staff
425,1862029,Phillip Holmes,1041591497,30-04-2025,I�ve been texting for help and no one responds.,No Response
426,bd8fa26f,Kayla Love,001-382-872-3244x079,30-04-2025,delay for delivery,Late Delivery
427,272c7482,Barbara Davis,170.876.0146,30-04-2025,I was charged more than what was mentioned.,Overcharged
428,3c243b45,Kimberly Underwood,+1-791-620-2232x88377,30-04-2025,I placed the order 2 days ago and it's still not here!,Late Delivery
429,f58703c5,Holly Hill,(176)620-4719x6094,30-04-2025,I was charged more than what was mentioned.,Overcharged
430,a83db2df,Amanda Meadows,(774)025-8835,30-04-2025,I placed the order 2 days ago and it's still not here!,Late Delivery
431,2cabd3d7,Heather Ball,724-461-7679x29884,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
432,f487a21f,Lauren Gallegos,002-311-7753,30-04-2025,I was charged more than what was mentioned.,Overcharged
433,2c8b2151,Janet Mcpherson,094-101-7590,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
434,73131038,William Berry,347.743.3268,30-04-2025,I was charged more than what was mentioned.,Overcharged
435,a10db956,Anne Johnson,(056)981-5287,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
436,d3dc00ee,Harold Montgomery,-10005,30-04-2025,Your delivery boy was very rude.,Rude Staff
437,3b06dd82,Joshua Johnson,465-124-1893x8984,30-04-2025,I�ve been texting for help and no one responds.,No Response
438,b2908892,Lauren Giles,005-643-5023x850,30-04-2025,I was charged more than what was mentioned.,Overcharged
439,f2aff86f,Lisa Conley,5169918724,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
440,81f25a73,Gregory Woods,000.389.6087,30-04-2025,I�ve been texting for help and no one responds.,No Response
441,b2086418,Michael Dunn,719-553-5603,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
442,3a24ec19,Paul Morton,-1472,30-04-2025,Your delivery boy was very rude.,Rude Staff
443,9a37ef9d,Dana Carter,+1-671-114-8375x374,30-04-2025,Your delivery boy was very rude.,Rude Staff
444,de74e122,Kelsey Adams,001-881-056-9741x328,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
445,35f4ffba,Nathaniel French,3771070449,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
446,15a15a52,Scott Cruz,6670336268,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
447,8aa2f756,Teresa Kent,001-549-305-9660x18648,30-04-2025,I�ve been texting for help and no one responds.,No Response
448,917c4f11,Debbie Horne,320.441.3845x960,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
449,a8c34b25,Matthew Ingram,1495427707,30-04-2025,delay for delivery,Late Delivery
450,5bd55037,Dr. Daniel Brown,498-517-2444,30-04-2025,I placed the order 2 days ago and it's still not here!,Late Delivery
451,2cabb9ad,Luke Williams,028-795-0830,30-04-2025,I�ve been texting for help and no one responds.,No Response
452,adaad2f9,Sarah Fernandez,9351187181,30-04-2025,I placed the order 2 days ago and it's still not here!,Late Delivery
453,5f116839,Melanie Jones,(420)595-5657x49025,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
454,e9707c9e,Ashley Lewis,889-536-9026x11398,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
455,6b074c79,Barbara Johns,9788754394,30-04-2025,Your delivery boy was very rude.,Rude Staff
456,c4844743,Crystal Edwards,376-515-8815,30-04-2025,I was charged more than what was mentioned.,Overcharged
457,72ef917e,Crystal Carey,(836)929-4455,30-04-2025,Got it after the expected date,Late Delivery
458,81496136,Ms. Mackenzie Barton,(702)164-8712,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
459,b0a6e457,Benjamin Robertson,665.268.3415x59991,30-04-2025,Your delivery boy was very rude.,Rude Staff
460,5ade80d4,Susan Mccoy,001-647-229-8120x9957,30-04-2025,I was charged more than what was mentioned.,Overcharged
461,82380358,Diana Mejia,475.098.8986,30-04-2025,Your delivery boy was very rude.,Rude Staff
462,c1de6d58,Charles Cervantes,001-368-499-5154x2144,30-04-2025,I�ve been texting for help and no one responds.,No Response
463,2b589b3f,Thomas Zhang,001-134-213-8820x90883,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
464,0699576d,Douglas Gould,(782)741-1767x41241,30-04-2025,I was charged more than what was mentioned.,Overcharged
465,cb170945,Benjamin Moore,478-150-6185x38003,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
466,f17316d5,Craig Harrison,274.231.8306x1789,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
467,6b0c7da5,Lisa Welch,578.243.4776,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
468,4ba0768a,Brian Ibarra,001-467-536-1275x15627,30-04-2025,delay for delivery,Late Delivery
469,3c1fc9aa,Derek Lewis,(085)456-6766x40473,30-04-2025,I was charged more than what was mentioned.,Overcharged
470,4efa8dc3,Daniel Hutchinson,-11070,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
471,5.55E+15,Pamela Tran,+1-083-583-2863x4255,30-04-2025,I was charged more than what was mentioned.,Overcharged
472,3fab0c74,Amanda Smith,186.702.4403x30416,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
473,bd93183f,Shannon Jones,600.892.1963x94568,30-04-2025,I was charged more than what was mentioned.,Overcharged
474,33e1f6f7,Wayne Johnston,(461)368-4748x8360,30-04-2025,I was charged more than what was mentioned.,Overcharged
475,5f6bbc54,Michelle Chavez,001-063-757-9145,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
476,156912dd,Christopher Hancock,931.269.7893x0746,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
477,268e81b4,Michael George,4387875357,30-04-2025,Your delivery boy was very rude.,Rude Staff
478,bd5bfece,Angela Garcia DDS,(202)812-3710x6728,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
479,8c0dc409,Adam Wilson,485-959-2248x3958,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
480,35eb0106,Tammy Cortez,(287)056-2271,30-04-2025,I was charged more than what was mentioned.,Overcharged
481,3303343c,Kimberly Rivera,9792158350,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
482,e958c430,Lauren Torres,+1-648-831-9213x424,30-04-2025,I was charged more than what was mentioned.,Overcharged
483,85b69e95,Pamela Rivera,001-994-973-2033x19222,30-04-2025,Your delivery boy was very rude.,Rude Staff
484,13e9e070,Amy Hunt,675.481.3866x675,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
485,87db0168,Larry Lewis,(426)877-4186,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
486,ddbb3fa4,John Santiago,001-639-836-5203x7583,30-04-2025,I�ve been texting for help and no one responds.,No Response
487,18177e4a,Sydney Shaw,9404760440,30-04-2025,delay for delivery,Late Delivery
488,b7d0c829,Yolanda Chen,278.105.0922x2161,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
489,0ff48fe8,Scott Ramirez,905.529.5806,30-04-2025,Your delivery boy was very rude.,Rude Staff
490,0fbd6062,Roger Mason,001-412-704-9386x2044,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
491,775c4f30,Melissa Knight,111.212.5902x035,30-04-2025,Your delivery boy was very rude.,Rude Staff
492,f1780077,Ryan May,240.642.4295,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
493,45d62ecd,Cassandra Phillips,001-741-759-5587x209,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
494,35edff38,Jessica Brewer DDS,358-841-8343x7401,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
495,79a759de,Kevin Watson,(905)150-2675x5125,30-04-2025,Your delivery boy was very rude.,Rude Staff
496,2fa83aa4,Jessica Jensen,001-966-734-5957,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
497,edd24200,Pamela Santana,166.496.9028x24983,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
498,a9d500dd,Tyler Waller,257-627-0232x4412,30-04-2025,Your delivery boy was very rude.,Rude Staff
499,17152d76,Brittany Peters,001-507-251-7863x76731,30-04-2025,I�ve been texting for help and no one responds.,No Response
500,ef6d5b4b,Raymond Villanueva,+1-696-815-7903x92355,30-04-2025,I�ve been texting for help and no one responds.,No Response
